prioritaet,inhaltstyp,titel,url,quelle,veroeffentlicht,geaendert,hauptnavigation,entscheidung,ziel,verantwortlich,benoetigte_freigabe,offener_punkt,faellig
1,Angebot/Gruppe,Café Dreimaster,https://akg-kiel.de/angebote-und-gruppen/cafe-dreimaster,WordPress REST + Sitemap,2019-11-14,2020-01-17,nein,extern verlinken,https://cafe-dreimaster.de/,noah.zepner@akg-kiel.de (Projektleitung/Koordination),Website Dreimaster + AKG-69,"Externes Ziel, Bezeichnung und Rückweg vor Launch bestätigen",2027-02-19
1,Navigationseintrag,Predigten,http://2019.akg-kiel.de/aktuelles#Predigten,Hauptnavigation,,,ja,entfallen lassen,Kein Nachfolger; 410/404 statt inhaltlich falschem Redirect,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-53: redaktionelle Sammelentscheidung,Begründete Predigt-Ausnahmen bis Frist melden; sonst Navigationseintrag entfernen,2026-10-02
1,Navigationseintrag,Intern,https://akg-kiel.church.tools/?q=login#,Hauptnavigation,,,ja,extern verlinken,https://akg-kiel.church.tools/?q=login#/,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-69/72: Linkziel und Bezeichnung,Externes Ziel vor Launch prüfen,2027-02-19
1,Navigationseintrag,Gemeindeleben,https://akg-kiel.de/aktuelles#Gemeindeleben,Hauptnavigation,,,ja,überarbeiten,/aktuelles,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-55/65/72: öffentliche ChurchTools-Felder und Redaktion,"ChurchTools-Datensatz, öffentliche Felder und Ziel festlegen; keine parallele Repository-Pflege",2026-10-02
1,Navigationseintrag,Kalender,https://akg-kiel.de/aktuelles#Kalender,Hauptnavigation,,,ja,überarbeiten,/aktuelles,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-55/65/72: öffentliche ChurchTools-Felder und Redaktion,"ChurchTools-Datensatz, öffentliche Felder und Ziel festlegen; keine parallele Repository-Pflege",2026-10-02
1,Navigationseintrag,Geschichte,https://akg-kiel.de/gemeinde#geschichte,Hauptnavigation,,,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-64/72: redaktionell,Umfang und Ankerziel in AKG-58 festlegen,2026-10-02
1,Navigationseintrag,Leitbild,https://akg-kiel.de/gemeinde#LEITBILD,Hauptnavigation,,,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-64/72: redaktionell und fachlich,Abschnitt und Ankerziel in AKG-58 festlegen,2026-10-02
1,Navigationseintrag,Orte,https://akg-kiel.de/gemeinde#orte,Hauptnavigation,,,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-64/72: Ortsangaben,Darstellung und Ankerziel in AKG-58 festlegen,2026-10-02
1,Navigationseintrag,Pastoren,https://akg-kiel.de/gemeinde#pastoren,Hauptnavigation,,,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/64/72: öffentliche ChurchTools-Rollen, Personenfelder und Einwilligungen","ChurchTools-Person-Rollen-Zuordnungen, öffentliche Felder und Ankerziel festlegen; keine parallele Repository-Pflege",2026-10-02
1,Navigationseintrag,Dreiklang,https://akg-kiel.de/gottesdienste#Dreiklang,Hauptnavigation,,,ja,überarbeiten,/gottesdienste,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-55/60/72: Formatangaben,Format und Ankerziel bestätigen,2026-10-02
1,Navigationseintrag,Häufige Fragen,https://akg-kiel.de/kontakt#faqs,Hauptnavigation,,,ja,überarbeiten,/kontakt,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-61/72: fachlich und redaktionell,FAQ-Auswahl und Ankerziel festlegen,2026-10-02
1,Navigationseintrag,Büro,https://akg-kiel.de/kontakt#gemeindebuero,Hauptnavigation,,,ja,überarbeiten,/kontakt,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-61/72: Kontaktdaten,Kontaktdaten und Ankerziel bestätigen,2027-03-12
1,Navigationseintrag,Vergangene Konzerte,https://akg-kiel.de/konzerte#archiv,Hauptnavigation,,,ja,extern verlinken,https://konzerte-petruskirche.de/programm/archiv,noah.zepner@akg-kiel.de (Projektleitung/Koordination),Website Konzerte + AKG-69,Externes Archivziel und Erreichbarkeit bestätigen,2027-02-19
1,Navigationseintrag,Konzerte – Ansprechpartner,https://akg-kiel.de/konzerte#ihr_ansprechpartner,Hauptnavigation,,,ja,extern verlinken,https://konzerte-petruskirche.de/programm,noah.zepner@akg-kiel.de (Projektleitung/Koordination),Website Konzerte + AKG-69,Passendes Kontaktziel auf Website Konzerte bestätigen,2027-02-19
1,Navigationseintrag,Ansprechpersonen,https://akg-kiel.de/mitarbeiter#ansprechpartner,Hauptnavigation,,,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/64/72: öffentliche ChurchTools-Rollen, Personenfelder und Einwilligungen","ChurchTools-Person-Rollen-Zuordnungen, öffentliche Felder und Ankerziel festlegen; keine parallele Repository-Pflege",2026-10-02
1,Navigationseintrag,Kirchengemeinderat,https://akg-kiel.de/mitarbeiter#KGR,Hauptnavigation,,,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/64/72: öffentliche ChurchTools-Rollen, Personenfelder und Einwilligungen","ChurchTools-Person-Rollen-Zuordnungen, öffentliche Felder und Ankerziel festlegen; keine parallele Repository-Pflege",2026-10-02
1,Navigationseintrag,SHMF,https://akg-kiel.de/shmf#shmf,Hauptnavigation,,,ja,extern verlinken,https://konzerte-petruskirche.de/programm,noah.zepner@akg-kiel.de (Projektleitung/Koordination),Website Konzerte + AKG-69,Passendes Programm-/Filterziel bestätigen,2027-02-19
1,Seite,Home,https://akg-kiel.de/,WordPress REST + Sitemap,2015-06-01,2026-08-25,ja,überarbeiten,/,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-62/72: redaktionell und fachlich,"Texte, Bilder und aktuelle Einstiege gegen freigegebene Quellen prüfen",2027-03-12
1,Seite,Aktuelles,https://akg-kiel.de/aktuelles,WordPress REST + Sitemap,2019-07-11,2026-02-15,ja,überarbeiten,/aktuelles,noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/65/72: ChurchTools-Modell, Redaktion und Fachverantwortung",ChurchTools-Datensätze und öffentliche Felder für News/Kalender sowie Pflegeweg festlegen; kein Repository-Fallback,2026-10-02
1,Seite,Angebote & Gruppen,https://akg-kiel.de/angebote-gruppen-seite,WordPress REST + Sitemap,2019-07-02,2020-01-22,ja,überarbeiten,/angebote (vorläufig; AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: ChurchTools-Modell, Redaktion und Fachverantwortung","ChurchTools als einzige Quelle konkretisieren; öffentliche Felder, endgültige Zielroute und aktive Angebote festlegen",2026-10-02
1,Seite,Datenschutzerklärung,https://akg-kiel.de/datenschutzerklaerung,WordPress REST + Sitemap,2020-01-23,2025-03-24,nein,überarbeiten,/datenschutz (vorläufig; AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-61/72: substanzielle rechtliche/fachliche Freigabe,Zielroute und Text passend zur finalen Datenverarbeitung freigeben,2027-03-12
1,Seite,Gemeinde,https://akg-kiel.de/gemeinde,WordPress REST + Sitemap,2019-08-29,2026-06-05,ja,überarbeiten,/gemeinde,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-55/64/72: Redaktion sowie öffentliche ChurchTools-Rollen und Personenfelder,Statische Gemeindeinhalte bestätigen; Personen und Zuständigkeiten ausschließlich aus freigegebenen ChurchTools-Feldern beziehen,2027-03-12
1,Seite,gottesdienste,https://akg-kiel.de/gottesdienste,WordPress REST + Sitemap,2024-04-03,2026-06-05,ja,überarbeiten,/gottesdienste,noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/60/72: Termine, Formate, Orte und praktische Angaben",Quelle und Pflegeweg festlegen; Formate fachlich bestätigen,2026-10-02
1,Seite,Impressum,https://akg-kiel.de/impressum,WordPress REST + Sitemap,2019-10-09,2026-08-25,nein,überarbeiten,/impressum,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-61/72: substanzielle rechtliche/fachliche Freigabe,Text passend zur finalen Organisation und Technik freigeben,2027-03-12
1,Seite,intern2020,https://akg-kiel.de/intern2020,WordPress REST + Sitemap,2020-03-13,2020-03-22,nein,extern verlinken,https://akg-kiel.church.tools/?q=login#/,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-69/72: externes Ziel und Linkbezeichnung,Historische Zwischenseite entfernen; externes Ziel vor Launch prüfen,2027-02-19
1,Seite,Kontakt,https://akg-kiel.de/kontakt,WordPress REST + Sitemap,2019-11-13,2026-08-31,ja,überarbeiten,/kontakt,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-61/72: Kontakt- und Adressdaten,"Büro-, Telefon-, E-Mail- und Adressdaten bestätigen",2027-03-12
1,Seite,Konzerte,https://akg-kiel.de/konzerte,WordPress REST + Sitemap,2020-09-29,2026-01-24,ja,extern verlinken,https://konzerte-petruskirche.de/programm,noah.zepner@akg-kiel.de (Projektleitung/Koordination),Website Konzerte + AKG-69,Externes Ziel und Erreichbarkeit vor Verknüpfung bestätigen,2027-02-19
1,Seite,live Stream,https://akg-kiel.de/live-stream,WordPress REST + Sitemap,2020-03-19,2024-04-24,nein,extern verlinken,https://www.youtube.com/channel/UCXlzBLKlUkgAXdd-gPjKZRw,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-58/69/72: Datenschutz und Linkziel,"Entscheiden, ob nur verlinkt oder eine freigegebene interne Hinweisseite benötigt wird",2026-10-02
1,Seite,Mitarbeiter,https://akg-kiel.de/mitarbeiter,WordPress REST + Sitemap,2019-11-14,2026-08-31,nein,überarbeiten,/gemeinde#mitarbeitende (vorläufig; AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/64/72: öffentliche ChurchTools-Rollen, Personenfelder und Einwilligungen","ChurchTools-Person-Rollen-Zuordnungen, öffentliche Felder und Zielroute festlegen; keine parallele Repository-Pflege",2026-10-02
1,Seite,Petruskirche,https://akg-kiel.de/petruskirche,WordPress REST + Sitemap,2019-07-29,2026-09-02,nein,überarbeiten,/petruskirche,noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-64/72: Orts-, Kontakt- und Barrierefreiheitsangaben",Alle praktischen Angaben und Medienrechte bestätigen,2027-03-12
1,Seite,SHMF,https://akg-kiel.de/shmf,WordPress REST + Sitemap,2022-03-05,2024-11-29,nein,extern verlinken,https://konzerte-petruskirche.de/programm,noah.zepner@akg-kiel.de (Projektleitung/Koordination),Website Konzerte + AKG-69,Passendes Programm-/Filterziel und Erreichbarkeit bestätigen,2027-02-19
1,Seite,Spenden,https://akg-kiel.de/spenden,WordPress REST + Sitemap,2019-09-13,2026-01-21,ja,überarbeiten,/spenden,noah.zepner@akg-kiel.de (Projektleitung/Koordination),AKG-61/72: Zahlungsdaten und fachliche Freigabe,Zahlungsdaten und Spendenzwecke autoritativ bestätigen,2027-03-12
2,Angebot/Gruppe,Männermontag,https://akg-kiel.de/angebote-und-gruppen/29316,WordPress REST + Sitemap,2024-12-16,2025-04-22,nein,überarbeiten,/angebote (Männermontag; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Aposteltreff,https://akg-kiel.de/angebote-und-gruppen/aposteltreff,WordPress REST + Sitemap,2025-10-11,2026-07-29,nein,überarbeiten,/angebote (Aposteltreff; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Begrüßungsteam,https://akg-kiel.de/angebote-und-gruppen/begruessungsteam,WordPress REST + Sitemap,2019-07-14,2020-01-20,nein,überarbeiten,/angebote (Begrüßungsteam; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
